,,"AUC as on August 31, 2024","Net Investment August 16-31, 2024","Net Investment September 01-15, 2024","AUC as on September 15, 2024"
,,IN INR Cr.,IN USD Mn,IN INR Cr.,IN USD Mn,IN INR Cr.,IN USD Mn,IN INR Cr.,IN USD Mn
,,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Hybrid,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt,Debt VRR,Debt-FAR,Hybrid,Equity,Debt,Hybrid,Solution oriented,Other,AIF,Total
11,Forest Materials,"4,062",458,0,0,0,0,0,0,0,0,0,"4,520",484,55,0,0,0,0,0,0,0,0,0,539,-26,0,0,-,0,-,-,-,-,-,-,-26,-3,0,0,-,0,-,-,-,-,-,-,-3,72,0,0,0,0,0,0,0,0,0,0,72,9,0,0,0,0,0,0,0,0,0,0,9,"4,662",458,0,0,0,0,0,0,0,0,0,"5,120",556,55,0,0,0,0,0,0,0,0,0,611
12,Healthcare,"4,69,978",213,0,0,0,0,0,0,0,0,0,"4,70,191","56,036",25,0,0,0,0,0,0,0,0,0,"56,061","2,369",0,0,-,0,-,-,-,-,-,-,"2,369",282,0,0,-,0,-,-,-,-,-,-,282,"3,652",0,0,0,0,0,0,0,0,0,0,"3,652",435,0,0,0,0,0,0,0,0,0,0,435,"4,82,398",213,0,0,0,0,0,0,0,0,0,"4,82,611","57,484",25,0,0,0,0,0,0,0,0,0,"57,509"
13,Information Technology,"7,25,132",0,21,0,0,0,0,0,0,0,0,"7,25,153","86,458",0,3,0,0,0,0,0,0,0,0,"86,461","4,529",0,0,-,0,-,-,-,-,-,-,"4,529",540,0,0,-,0,-,-,-,-,-,-,540,48,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,6,"7,32,004",0,21,0,0,0,0,0,0,0,0,"7,32,025","87,228",0,3,0,0,0,0,0,0,0,0,"87,231"
14,"Media, Entertainment & Publication","14,340",0,45,0,0,0,0,0,0,0,0,"14,385","1,710",0,5,0,0,0,0,0,0,0,0,"1,715",-180,0,0,-,0,-,-,-,-,-,-,-180,-21,0,0,-,0,-,-,-,-,-,-,-21,143,0,-10,0,0,0,0,0,0,0,0,133,17,0,-1,0,0,0,0,0,0,0,0,16,"14,679",0,45,0,0,0,0,0,0,0,0,"14,724","1,749",0,5,0,0,0,0,0,0,0,0,"1,754"
15,Metals & Mining,"2,14,893",71,"1,250",0,0,0,0,0,0,0,0,"2,16,214","25,622",8,149,0,0,0,0,0,0,0,0,"25,779","-1,105",0,0,-,0,-,-,-,-,-,-,"-1,105",-132,0,0,-,0,-,-,-,-,-,-,-132,"-1,857",50,0,0,0,0,0,0,0,0,0,"-1,807",-221,6,0,0,0,0,0,0,0,0,0,-215,"2,10,889",120,"1,250",0,0,0,0,0,0,0,0,"2,12,259","25,130",14,149,0,0,0,0,0,0,0,0,"25,293"
16,"Oil, Gas & Consumable Fuels","6,40,756",414,0,0,0,0,0,0,0,0,0,"6,41,170","76,398",49,0,0,0,0,0,0,0,0,0,"76,447","2,518",-50,0,-,0,-,-,-,-,-,-,"2,468",300,-6,0,-,0,-,-,-,-,-,-,294,"1,672",0,0,0,0,0,0,0,0,0,0,"1,672",199,0,0,0,0,0,0,0,0,0,0,199,"6,16,787",414,0,0,0,0,0,0,0,0,0,"6,17,201","73,499",49,0,0,0,0,0,0,0,0,0,"73,548"
17,Power,"3,21,866","3,418",223,0,"5,306",0,0,0,0,0,0,"3,30,813","38,376",407,27,0,633,0,0,0,0,0,0,"39,443","-2,305",-1,0,-,"-1,321",-,-,-,-,-,-,"-3,627",-275,0,0,-,-158,-,-,-,-,-,-,-433,"1,167",-12,-14,0,-55,0,0,0,0,0,0,"1,086",139,-1,-2,0,-7,0,0,0,0,0,0,129,"3,20,366","3,406",209,0,"5,340",0,0,0,0,0,0,"3,29,321","38,176",406,25,0,636,0,0,0,0,0,0,"39,243"
18,Realty,"1,57,297",883,751,0,"23,694",0,0,0,0,0,0,"1,82,625","18,755",105,90,0,"2,825",0,0,0,0,0,0,"21,775",-277,0,273,-,473,-,-,-,-,-,-,469,-33,0,33,-,56,-,-,-,-,-,-,56,"2,903",33,-25,0,628,0,0,0,0,0,0,"3,539",346,4,-3,0,75,0,0,0,0,0,0,422,"1,60,382",920,726,0,"24,595",0,0,0,0,0,0,"1,86,623","19,112",110,87,0,"2,931",0,0,0,0,0,0,"22,240"
19,Services,"1,62,985","2,784",975,0,"3,433",0,0,0,0,0,0,"1,70,177","19,433",332,116,0,409,0,0,0,0,0,0,"20,290","4,251",0,-101,-,-3,-,-,-,-,-,-,"4,147",507,0,-12,-,0,-,-,-,-,-,-,495,-422,0,-35,0,-5,0,0,0,0,0,0,-462,-50,0,-4,0,-1,0,0,0,0,0,0,-55,"1,62,459","2,784",977,0,"3,415",0,0,0,0,0,0,"1,69,635","19,359",332,116,0,407,0,0,0,0,0,0,"20,214"
20,Telecommunication,"2,94,527",192,0,0,"10,644",0,0,0,0,0,0,"3,05,363","35,117",23,0,0,"1,269",0,0,0,0,0,0,"36,409","1,399",0,0,-,0,-,-,-,-,-,-,"1,399",167,0,0,-,0,-,-,-,-,-,-,167,"1,699",726,"7,174",0,21,0,0,0,0,0,0,"9,620",202,87,855,0,3,0,0,0,0,0,0,"1,147","2,99,647",192,"7,900",0,"12,357",0,0,0,0,0,0,"3,20,096","35,707",23,941,0,"1,472",0,0,0,0,0,0,"38,143"
21,Textiles,"22,242",460,0,0,0,0,0,0,0,0,0,"22,702","2,652",55,0,0,0,0,0,0,0,0,0,"2,707",260,0,0,-,0,-,-,-,-,-,-,260,31,0,0,-,0,-,-,-,-,-,-,31,-104,0,0,0,0,0,0,0,0,0,0,-104,-12,0,0,0,0,0,0,0,0,0,0,-12,"24,224",460,0,0,0,0,0,0,0,0,0,"24,684","2,887",55,0,0,0,0,0,0,0,0,0,"2,942"
22,Utilities,"2,404",94,0,0,0,0,0,0,0,0,0,"2,498",287,11,0,0,0,0,0,0,0,0,0,298,-1,-6,0,-,0,-,-,-,-,-,-,-7,0,-1,0,-,0,-,-,-,-,-,-,-1,46,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,0,5,"2,612",94,0,0,0,0,0,0,0,0,0,"2,706",311,11,0,0,0,0,0,0,0,0,0,322
23,Sovereign,0,"70,387",341,"2,09,212",0,0,0,0,0,0,0,"2,79,940",0,"8,392",41,"24,945",0,0,0,0,0,0,0,"33,378",0,"8,736","-1,455",-,0,-,-,-,-,-,-,"7,281",0,"1,042",-174,-,0,-,-,-,-,-,-,868,0,-450,-36,"14,807",0,0,0,0,0,0,0,"14,321",0,-54,-4,"1,764",0,0,0,0,0,0,0,"1,706",0,"70,212",305,"2,22,958",0,0,0,0,0,0,0,"2,93,475",0,"8,367",36,"26,568",0,0,0,0,0,0,0,"34,971"
24,Others,"19,325","78,151","1,32,621",0,"9,517","6,544","1,533",285,0,"1,762",35,"2,49,773","2,304","9,318","15,812",0,"1,135",780,183,34,0,210,4,"29,780","1,792",55,-9,-,0,-,-,-,-,-,-,"1,838",214,7,-1,-,0,-,-,-,-,-,-,220,"2,452",-946,98,0,"1,674",-29,527,-6,0,9,0,"3,779",292,-113,12,0,199,-3,63,-1,0,1,0,450,"20,609","76,475","1,32,697",0,"9,517","6,581","2,067",276,0,"1,777",35,"2,50,034","2,456","9,113","15,813",0,"1,134",784,246,33,0,212,4,"29,795"
,Grand Total,"75,53,576","1,82,900","1,53,083","2,09,212","52,677","6,544","1,533",285,0,"2,035",35,"81,61,880","9,00,619","21,807","18,252","24,945","6,281",780,183,34,0,243,4,"9,73,148","26,144","9,337",-921,-,-859,-,-,-,-,-,-,"33,701","3,117","1,113",-110,-,-102,-,-,-,-,-,-,"4,018","27,862",51,"7,524","14,807","2,261",-29,527,-6,0,10,0,"53,007","3,320",6,897,"1,764",269,-3,63,-1,0,1,0,"6,316","76,47,875","1,81,869","1,61,320","2,22,958","55,307","6,581","2,067",276,0,"2,052",35,"82,80,340","9,11,351","21,672","19,224","26,568","6,591",784,246,33,0,245,4,"9,86,718"
